domain,agency,organization,city,state,expires,status
10MillionPatents.uspto.gov,Department of Commerce,USPTO,Washington,DC,28 Feb 20 16:09 EST,Expires 1 year from now (28 Feb 20)
18F.GOV,General Services Administration,18F,Washington,DC,06 May 19 21:31 EDT,Expires 2 months from now (06 May 19)
2016.bbg.gov,Broadcasting Board of Governors,IBB/VOA/BBG,Washington,DC,19 Apr 19 08:00 EDT,Expires 2 months from now (19 Apr 19)
2016.export.gov,Department of Commerce,International Trade Administration,Washington,DC,06 Apr 21 19:26 EDT,Expires 2 years from now (06 Apr 21)
2017dodtransition.defense.gov,Department of Defense,Defense Media Activity,Fort Meade,MD,14 Mar 19 16:54 EDT,Expires 3 weeks from now (14 Mar 19)
2020CENSUS.GOV,Department of Commerce,U.S. Census Bureau,Suitland,MD,17 Nov 19 07:00 EST,Expires 9 months from now (17 Nov 19)
29PALMSBOMI-NSN.GOV,Indian Affairs,Twenty-Nine Palms Band of Mission Indians,Coachella,CA,,read tcp 192.168.1.211:63274->184.168.27.44:443: read: connection reset by peer
29PALMSGAMING-NSN.GOV,Indian Affairs,Twenty-Nine Palms Band of Mission Indians,Coachella,CA,28 Jun 20 16:17 EDT,"Error: x509: certificate is valid for mail.29palmsgaming.com, www.mail.29palmsgaming.com, autodiscover.29palmsgaming.com, mail.29palmsgaming-nsn.gov, autodiscover.29palmsgaming-nsn.gov, pop.29palmsgaming.com, not 29palmsgaming-nsn.gov"
45.wh.gov,Executive Office of the President,Office of Administration,Washington,DC,23 Feb 20 07:00 EST,Expires 1 year from now (23 Feb 20)
4mmp.cdc.gov,Department of Health and Human Services,Centers For Disease Control and Prevention,Atlanta,GA,07 Dec 19 08:57 EST,Expires 9 months from now (07 Dec 19)
508controlone.defense.gov,Department of Defense,Defense Media Activity,Fort Meade,MD,,dial tcp: lookup 508controlone.defense.gov: no such host
508controltwo.defense.gov,Department of Defense,Defense Media Activity,Fort Meade,MD,,dial tcp: lookup 508controltwo.defense.gov: no such host
511TX.GOV,Non-Federal Agency,Tx. Dept. of Transportation,Austin,TX,,dial tcp 168.44.251.79:443: connect: connection refused
511WI.GOV,Non-Federal Agency,Wisconsin Department of Transportation,Madison,WI,10 Jul 19 19:59 EDT,Expires 4 months from now (10 Jul 19)
60plus.smokefree.gov,Department of Health and Human Services,National Cancer Institute (NCI),Rockville,MD,02 May 19 08:00 EDT,Expires 2 months from now (02 May 19)
9-11COMMISSION.GOV,National Archives and Records Administration,National Archives and Records Administration,College Park,MD,26 Sep 19 19:59 EDT,Expires 7 months from now (26 Sep 19)
911.GOV,Department of Transportation,National Highway Traffic Safety Administration,Washington,DC,22 Jan 20 14:28 EST,Expires 11 months from now (22 Jan 20)
911COMMISSION.GOV,National Archives and Records Administration,National Archives and Records Administration,College Park,MD,26 Sep 19 19:59 EDT,Expires 7 months from now (26 Sep 19)
ABANDONEDMINES.GOV,Department of the Interior,Bureau of Land Management,Washington,DC,27 Feb 19 18:33 EST,Expires 1 week from now (27 Feb 19)
ABERDEENMD.GOV,Non-Federal Agency,City of Aberdeen,Aberdeen,MD,12 May 19 05:14 EDT,Expires 2 months from now (12 May 19)
ABERDEENWA.GOV,Non-Federal Agency,City of Aberdeen,Aberdeen,WA,14 Apr 19 19:59 EDT,Expires 1 month from now (14 Apr 19)
ABILENETX.GOV,Non-Federal Agency,City of Abilene,Abilene,TX,29 Apr 19 08:00 EDT,"Error: x509: certificate is valid for *.visioninternet.com, visioninternet.com, not abilenetx.gov"
ABILITYONE.GOV,Non-Federal Agency,Town of Abingdon,Abingdon,VA,07 Jun 19 17:50 EDT,Expires 3 months from now (07 Jun 19)
ABINGTONMA.GOV,Non-Federal Agency,Town of Abington,Abington,MA,12 May 19 05:15 EDT,Expires 2 months from now (12 May 19)
ABINGTONPA.GOV,Non-Federal Agency,Abington Township,Abington,PA,,read tcp 192.168.1.211:63273->135.84.124.41:443: read: connection reset by peer
ABLETN.GOV,Non-Federal Agency,Office for Information Resources,Nashville,TN,04 Apr 19 17:16 EDT,Expires 1 month from now (04 Apr 19)
ABMC.GOV,American Battle Monuments Commission,American Battle Monuments Commission,Arlington,VA,06 Oct 20 08:00 EDT,Expires 2 years from now (06 Oct 20)
ABMCSCHOLAR.GOV,American Battle Monuments Commission,American Battle Monuments Commission,Arlington,VA,,dial tcp: i/o timeout
ABSECONNJ.GOV,Non-Federal Agency,City of Absecon,Absecon,NJ,28 Mar 19 01:01 EDT,Expires 1 month from now (28 Mar 19)
ABSENTEESHAWNEETRIBE-NSN.GOV,Indian Affairs,Absentee Shawnee Tribe of Indians of Oklahoma,Shawnee,OK,04 May 19 01:46 EDT,"Error: x509: certificate is valid for astribe.com, www.astribe.com, not absenteeshawneetribe-nsn.gov"
ACCESS-BOARD.GOV,United States Access Board,U.S Access Board,Washington,DC,19 Jun 19 08:00 EDT,Expires 4 months from now (19 Jun 19)
ACCESSIBILITY.GOV,General Services Administration,General Services Administration,Washington,DC,30 Aug 19 08:00 EDT,Expires 6 months from now (30 Aug 19)
ACCESSPRINCETONNJ.GOV,Non-Federal Agency,Princeton,Princeton,NJ,,dial tcp: lookup accessprincetonnj.gov: no such host
ACF.GOV,Department of Health and Human Services,Health and Human Services,Washington,DC,11 Jul 19 12:14 EDT,"Error: x509: certificate is valid for *.acf.hhs.gov, acf.hhs.gov, not acf.gov"
ACHP.GOV,Advisory Council on Historic Preservation,ACHP,Washington,DC,21 Mar 19 16:58 EDT,Expires 1 month from now (21 Mar 19)
ACL.GOV,Department of Health and Human Services,Administration for Community Living,Washington,DC,27 Mar 20 22:06 EDT,Expires 1 year from now (27 Mar 20)
ACQUISITION.GOV,General Services Administration,Integrated Acquisition Environment,Arlington,VA,28 Mar 19 08:00 EDT,Expires 1 month from now (28 Mar 19)
ACTIONPLANFOROREGON.GOV,Non-Federal Agency,Office of Governor Kate Brown,Salem,OR,10 Dec 19 19:23 EST,Expires 9 months from now (10 Dec 19)
